tmp_script.js: line 13, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 14, col 36, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 15, col 28, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 16, col 93, 'async functions' is only available in ES8 (use 'esversion: 8').
tmp_script.js: line 16, col 107, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 17, col 37, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 45, col 63, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 110, col 9, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 111, col 9, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 112, col 9, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 113, col 9, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 114, col 9, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 155, col 17, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 199, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 200, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 201, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 202, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 203, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 207, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 208, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 211, col 21, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 212, col 21, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 213, col 21, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 213, col 59, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 224, col 37, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 232, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 233, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 236, col 21, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 239, col 49, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 241, col 29, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 258, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 259, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 260, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 262, col 21, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
